Date,Link,Message
2024-01-05 20:34:49,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7149036858927185921,"Interessante, vou dar uma olhada."
2024-01-05 18:05:19,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7149036858927185921,isso mesmo
2024-01-05 17:59:41,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7149036858927185921,"obrigado pela informação, eu iria fazer para testar meus conhecimentos mesmo, sem nenhum objetivo financeiro, mas agora que você falou acredito não vale a pena deixar em produção."
2024-01-05 14:12:08,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7149036858927185921,vlw
2024-01-02 20:45:59,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7147966399213219841,Vlw Daniel!
2024-01-02 20:45:48,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7147966399213219841,O importante é seguir uma estratégia e ter persistência. 
2024-01-02 18:46:20,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7147966399213219841,"Esse é o tópico que eu tenho dúvidas também, não faço ideia de como aumentar isso. Além dos posts que eu estou fazendo, estou criando conexões com pessoas com interesses parecidos com os meus, mas não sei se essa é a chave."
2024-01-02 18:44:05,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7147966399213219841,"Vlw mano, vi o vídeo que tu mandou no primeiro post e já estou com Scala na mira para estudar. Vou implementar as dicas que tu deu."
2024-01-02 15:44:26,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7147966399213219841,"Cara, eu recebi mt invite com o primeiro post, uns 500, e eu aceitei a maior parte deles. Acredito que o segredo seja aceitar e enviar vários pedidos de conexão para pessoas com interesses similares ao seu. Só não sei a importância do volume dos pedidos."
2023-12-28 19:46:46,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7146130883899559936,"Muito enriquecedor, principalmente pela parte da arquitetura do código."
2023-12-28 01:23:40,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7145833061631385601,Obrigado!
2023-12-28 01:23:32,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7145833061631385601,Valeu!
2023-12-26 17:06:57,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7145443156661092352,Valeu

2023-12-26 17:06:46,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7145443156661092352,"boa, o importante é pensar no longo prazo e não desistir."
2023-12-26 16:48:32,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7145443156661092352,Obrigado Ana
