Date,ShareLink,ShareCommentary,SharedURL,MediaURL,Visibility
2024-01-05 00:14:41,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7148829122494885888,"Olá pessoal!!""
""""
""Vim apresentar um novo projeto que vou iniciar.""
""""
""A ideia base é fazer web scrapping de um perfil no Linkedin e apresentar essas informações num Dashboard. ""
""""
""Os dados que eu vou extrair serão:""
""◾Informações sobre as conexões""
""◾Estatísticas das publicações (reações, comentários e reposts)""
""◾SSI""
""◾Visualizações no perfil""
""◾Ocorrências em pesquisa""
""◾Followers""
""""
""Usarei primariamente o Python para fazer a extração, tratamento e CRUD no Banco de dados. ""
""""
""O objetivo é que a extração seja executada diariamente, então vou tentar automatizar essa parte utilizando algum solução na nuvem, como a AWS.",,,MEMBER_NETWORK
2024-01-02 15:06:32,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7147966398370148352,"Road to Proposal | Semana 2""
""""
""Feliz ano novo pessoal, espero que consigamos melhores jobs em 2024 ou que mantenha caso esteja satisfeito.""
""""
""Já está ficando um pouco agoniante fazer isso aqui, mas o que importa é a disciplina e os objetivos de longo prazo.""
""""
""A quantidade de ocorrências em pesquisa aumentou bastante desde a semana passada, acredito que pelo aumento do SSI e pela melhora do meu perfil que eu fiz seguindo as dicas de alguns comentários do meu primeiro post da série.""
""""
""◾ entrevistas: 0""
""◾ visualizações no perfil: 1747""
""◾ ocorrências em pesquisa: 69""
""""
""#RoadToProposal #carreiras",,,MEMBER_NETWORK
2023-12-27 17:49:25,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7145833061631385601,"Uma introdução a Recursão na programação.""
""""
""É um ótimo jeito de resolver determinados tipos de problemas para você adicionar na sua caixa de ferramentas.""
""""
""#Programação #Algoritmos #Python #Recursão",,,MEMBER_NETWORK
2023-12-25 23:44:31,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7145197651670609921,"Road to Proposal | Semana 1""
""""
""Agradeço pela receptividade a minha série, contando sobre a minha jornada para conseguir um bom job vendendo minhas habilidades aqui no Linkedin.""
""""
""O post que eu fiz realmente explodiu, então houve um grande salto nos números que eu mostrei na semana passada.""
""""
""Não acredito que vou conseguir chegar de novo naquela quantidade de interação, já que quero ser mais técnico nas publicações, então vou considerar os dados dessa semana como outliers kk.""
""""
""Obrigado, novamente.""
""""
""◾ entrevistas: 0""
""◾ visualizações no perfil: 1638""
""◾ ocorrências em pesquisa: 45""
""""
""Meu SSI foi de 33 para 46 em uma semana, não esperava que fosse subir tão rápido.",,,MEMBER_NETWORK
2023-12-21 20:10:36,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7143694265930465280,"Pensando em como apresentar meus conhecimentos técnicos aqui na plataforma. Então, queria saber como vocês gostam de ver este tipo de conteúdo.",,,MEMBER_NETWORK
2023-12-20 01:53:45,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7143055846405570560,"Você sabe como o computador representa números?""
""""
""As pessoas utilizam o sistema decimal, pois utilizamos 10 caracteres para representar os números:""
""""
""0 1 2 3 4 5 6 7 8 9""
""""
""Mas como arranjamos esses dígitos para representar o número 543? (A resposta já está na pergunta mas fica comigo kk)""
""""
""10^2   10^1   10^0 ""
""    x 5       x 4       x 3 = 500 + 40 + 3 = 543""
""""
""Perceba que o 5 é multiplicado por 10^2, sendo 2 a posição dele da direita para esquerda começando do 0 e a base é 10 pois temos 10 dígitos.""
""""
""O computador utiliza o sistema binário, 0 ou 1 (desligado ou ligado), para representar números.""
""""
""Vamos para alguns exemplos que vai ficar melhor de explicar:""
""""
""0 0 0""
""representa o número 0""
""""
""0 1 0""
""representa o número 2""
""2^2    2^1    2^0""
""  x 0     x 1      x 0 = 0 + 2 + 0 = 2""
""Como estamos num sistema de dois dígitos, utilizamos a base 2 elevada à posição do dígito da direita para esquerda, no caso do computador, o dígito é chamado de bit.""
""""
""1 1 1""
""representa o número 7""
""2^2   2^1   2^0""
""  x 1     x 1     x 1 = 4 + 2 + 1 = 7""
""""
""A partir desse sistema, o computador não só representa números, mas de certa forma representa tudo que você está vendo na tela agora como letras, emojis, pixels, entre outras, com um monte 0 e 1.",,,MEMBER_NETWORK
2023-12-19 19:51:23,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7142964652275150849,"Queria agradacer a todos que gostaram do projeto do Road to Proposal, a postagem teve bastante engajamento e eu consegui inspirar algumas pessoas a fazer o mesmo, fico realmente muito feliz com isso. Espero que consiga ajudar outras pessoas na minha jornada.""
""""
""Além do relatório semanal, vou fazer um Dashboard com mais dados e vou compartilhar para quem quiser metrificar sua caminhada possa colocar seus próprios dados e metas.""
""""
""#RoadToProposal #carreiras #Dados",,,MEMBER_NETWORK
2023-12-18 00:33:26,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7142310856595345408,"Há algumas semanas comecei a fazer um curso de Harvard chamado CS50, que é uma introdução à ciência da computação totalmente gratuito.""
""""
""Nele estou aprendendo conceitos básicos da computação, alguns deles são: como o computador representa números e letras através de 0 e 1 (sistema binário) e a linguagem C que é muito mais complexa que python, assim por diante.""
""""
""Até agora, os problemas do curso estão sendo um pouco desafiadores para mim, que já tenho algum background em programação com python, então, recomendo ele para quem já tem alguma familiaridade com programação e quer melhorar nos fundamentos da área de computação.""
""""
""Porém, se você quiser arriscar começar a estudar programação no nível Hard pode ir em frente.""
""""
""Lembrando que ele é totalmente em inglês.""
""O link do curso totalmente gratuito está nos comentários.""
""""
""#programação #dados #cs50 #ciênciadacomputação",,,MEMBER_NETWORK
2023-12-17 02:12:21,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7141973362972549120,"Eu odeio auto exposição, porém quero trabalhar em empresa boa e trabalhar home office. ""
""""
""Então, decidi investir no Linkedin e mostrar meu potencial aqui na plataforma através de publicações técnicas sobre coisas que estou aprendendo.""
""""
""Outra motivação é que eu quero avançar na minha carreira de dados e trabalhar mais com programação, me tornando um engenheiro de dados ou cientista de dados.""
""""
""Prefiro fazer esse esforço a me candidatar para vagas com 1000 candidaturas ou esperar que alguém veja meu perfil na gupy, por exemplo. Acredito que mostrar minhas habilidades por aqui trará mais frutos no longo prazo.""
""""
""Vou ficar mais ativo na rede, interagindo com colegas da área e fazendo networking.""
""""
""Vou criar um “série” chamada Road to Proposal para metrificar com dados meu progresso e me manter disciplinado.""
""""
""Toda segunda-feira, vou apresentar meu progresso então aqui vai minha semana 0:""
""""
""◾ entrevistas: 0""
""◾ visualizações no perfil: 103""
""◾ ocorrências em pesquisa: 32""
""",,,MEMBER_NETWORK
2023-10-11 17:25:47,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7117923249547558912,"Olá pessoal, fiz um vídeo para demonstrar como a ""máquina aprende"" com um modelo de Regressão Linear. Fiz o gráfico utilizando a biblioteca matplotib do python.""
""""
""O repositório está em um link nos comentários""
""""
""#python #regressaolinear #analisededados #cienciadedados #machinelearning",,,MEMBER_NETWORK
